timestamp,focus_session_id,goal,application,window_title,allowed,status,remaining_seconds,title
2026-09-18 10:14:51,ef576f2a-7b6e-44a0-9ed3-6f86063fd7ad,Study,Python,Focus Assistant,True,Within focus goal,1498,
2026-09-18 10:14:57,ef576f2a-7b6e-44a0-9ed3-6f86063fd7ad,Study,Google Chrome,Dashboard UI Specification - Google Chrome,True,Within focus goal,1492,
2026-09-18 10:15:01,ef576f2a-7b6e-44a0-9ed3-6f86063fd7ad,Study,Visual Studio Code,run_focus_assistant.py - Capestone Project 1 - Visual Studio Code,True,Within focus goal,1488,
2026-09-18 10:15:03,ef576f2a-7b6e-44a0-9ed3-6f86063fd7ad,Study,Google Chrome,Dashboard UI Specification - Google Chrome,True,Within focus goal,1486,
2026-09-18 10:15:07,ef576f2a-7b6e-44a0-9ed3-6f86063fd7ad,Study,Mscopilot,Copilot,False,Outside declared focus apps,1482,
2026-09-18 10:22:31,0281e048-066e-4c80-8d85-6416252582d4,temppp,Python,Focus Assistant,True,Within focus goal,1019,
2026-09-18 10:22:35,0281e048-066e-4c80-8d85-6416252582d4,temppp,File Explorer,Task Switching,False,Outside declared focus apps,1015,
2026-09-18 10:22:37,0281e048-066e-4c80-8d85-6416252582d4,temppp,Visual Studio Code,run_focus_assistant.py - Capestone Project 1 - Visual Studio Code,True,Within focus goal,1013,
2026-09-18 10:22:39,0281e048-066e-4c80-8d85-6416252582d4,temppp,Google Chrome,Dashboard UI Specification - Google Chrome,True,Within focus goal,1011,
2026-09-18 10:22:49,0281e048-066e-4c80-8d85-6416252582d4,temppp,Python,Focus Assistant,True,Within focus goal,1001,
2026-09-18 10:35:02,e289acd2-db09-47d5-b7cb-b9b4a8d5d438,coding,Python,Focus Timer,False,Outside declared focus apps,1499,
2026-09-18 10:35:08,e289acd2-db09-47d5-b7cb-b9b4a8d5d438,coding,File Explorer,Task Switching,True,Within focus goal,1493,
2026-09-18 10:35:11,e289acd2-db09-47d5-b7cb-b9b4a8d5d438,coding,Google Chrome,Dashboard UI Specification - Google Chrome,True,Within focus goal,1490,
2026-09-18 10:35:12,e289acd2-db09-47d5-b7cb-b9b4a8d5d438,coding,File Explorer,Program Manager,True,Within focus goal,1488,
2026-09-18 10:35:14,e289acd2-db09-47d5-b7cb-b9b4a8d5d438,coding,Google Chrome,Dashboard UI Specification - Google Chrome,True,Within focus goal,1487,
2026-09-18 10:35:15,e289acd2-db09-47d5-b7cb-b9b4a8d5d438,coding,Searchhost,Search,False,Outside declared focus apps,1485,
2026-09-18 10:35:17,e289acd2-db09-47d5-b7cb-b9b4a8d5d438,coding,Applicationframehost,Calculator,False,Outside declared focus apps,1484,
2026-09-18 10:35:23,e289acd2-db09-47d5-b7cb-b9b4a8d5d438,coding,File Explorer,Task Switching,True,Within focus goal,1478,
2026-09-18 10:35:24,e289acd2-db09-47d5-b7cb-b9b4a8d5d438,coding,Python,Focus Assistant,True,Within focus goal,1476,
2026-09-18 10:35:32,e289acd2-db09-47d5-b7cb-b9b4a8d5d438,coding,Python,Focus Timer,False,Outside declared focus apps,1469,
2026-09-18 11:12:01,e384bb82-4563-4a46-9e86-203cabb03c58,study for placement exam,Python,Focus Timer,False,Focus deviation,59,coding
2026-09-18 11:12:11,e384bb82-4563-4a46-9e86-203cabb03c58,study for placement exam,File Explorer,Task Switching,False,Focus deviation,49,coding
2026-09-18 11:12:12,e384bb82-4563-4a46-9e86-203cabb03c58,study for placement exam,Visual Studio Code,run_focus_assistant.py - Capestone Project 1 - Visual Studio Code,True,Within focus zone,48,coding
2026-09-18 11:12:14,e384bb82-4563-4a46-9e86-203cabb03c58,study for placement exam,File Explorer,Task Switching,False,Focus deviation,46,coding
2026-09-18 11:12:15,e384bb82-4563-4a46-9e86-203cabb03c58,study for placement exam,Python,Focus Timer,False,Focus deviation,45,coding
2026-09-18 11:12:17,e384bb82-4563-4a46-9e86-203cabb03c58,study for placement exam,Visual Studio Code,run_focus_assistant.py - Capestone Project 1 - Visual Studio Code,True,Within focus zone,43,coding
2026-09-18 11:12:19,e384bb82-4563-4a46-9e86-203cabb03c58,study for placement exam,Python,Focus Timer,False,Focus deviation,41,coding
2026-09-18 11:12:22,e384bb82-4563-4a46-9e86-203cabb03c58,study for placement exam,Visual Studio Code,run_focus_assistant.py - Capestone Project 1 - Visual Studio Code,True,Within focus zone,38,coding
2026-09-18 11:12:31,e384bb82-4563-4a46-9e86-203cabb03c58,study for placement exam,File Explorer,Unknown,False,Focus deviation,29,coding
